dataset,method,n,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,delta_vs_same_alpha_dense_rmse,delta_vs_best_dense_rmse,delta_vs_persistence_rmse,beats_same_alpha_dense,beats_best_dense,beats_persistence,meaningfully_beats_same_alpha_dense,meaningfully_beats_best_dense,meaningfully_beats_persistence
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.1,2.0,1.0,0.5740360961438408,0.0,0.911764122525258,0.0,0.8422078344913848,1.2412670766236366e-16,1.4554880717897027,0.0,-9.320043222960095e-06,0.0026486000546963595,-0.216240693007405,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.1,4.0,1.0,0.574025211093458,0.0,0.911751288444856,1.2412670766236366e-16,0.8421928652884876,1.2412670766236366e-16,1.4554795651384647,0.0,-2.215412362494007e-05,0.0026357659742943795,-0.21625352708780698,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.3,0.5,1.0,0.5740429634757097,0.0,0.9117721845419771,0.0,0.8422169986156769,0.0,1.4554933805333965,0.0,-1.2580265038586447e-06,0.002656662071415461,-0.2162326309906859,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.3,1.0,1.0,0.5740418417894454,0.0,0.9117708459674458,0.0,0.8422154787933911,0.0,1.4554923779526159,0.0,-2.596601035076418e-06,0.002655323496884243,-0.21623396956521712,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.3,2.0,1.0,0.5740396206447114,0.0,0.9117681837184854,1.2412670766236366e-16,0.8422124358312729,0.0,1.455490347981402,0.0,-5.258849995470882e-06,0.0026526612479238487,-0.21623663181417752,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.3,4.0,1.0,0.5740359878073779,0.0,0.9117637365583914,0.0,0.8422073168419736,1.2412670766236366e-16,1.455486686967136,0.0,-9.70601008953853e-06,0.002648214087829781,-0.21624107897427158,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.6,0.5,1.0,0.5740434663328028,0.0,0.9117727825109435,0.0,0.842217676366548,1.2412670766236366e-16,1.4554938197849847,0.0,-6.600575374049455e-07,0.0026572600403819147,-0.21623203302171945,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.6,1.0,1.0,0.5740429712959718,0.0,0.9117721846129714,0.0,0.8422169996457903,0.0,1.4554933263105856,0.0,-1.257955509537112e-06,0.0026566621424097825,-0.21623263091969158,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.6,2.0,1.0,0.5740421638237783,0.0,0.9117711951095127,0.0,0.8422158826301442,1.2412670766236366e-16,1.4554924359407648,0.0,-2.247458968263061e-06,0.0026556726389510565,-0.2162336204231503,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.6,4.0,1.0,0.574041121803088,0.0,0.9117698764776636,0.0,0.8422144292596659,1.2412670766236366e-16,1.4554909834637397,0.0,-3.5660908173085204e-06,0.002654354007102011,-0.21623493905499935,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.01,0.5,1.0,0.5739926749431432,0.0,0.9117081617389771,0.0,0.8421402270847562,1.2412670766236366e-16,1.455460654018577,0.0,-5.8672555489636125e-06,0.002592639268415464,-0.2162966537936859,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.01,1.0,1.0,0.5739858789427614,0.0,0.9117001874385888,0.0,0.8421312203020259,1.2412670766236366e-16,1.4554554097589967,0.0,-1.3841555937199601e-05,0.0025846649680272282,-0.21630462809407414,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.01,2.0,1.0,0.5739625387539212,0.0,0.9116732859357312,0.0,0.8421011493920016,1.2412670766236366e-16,1.4554403919250216,0.0,-4.0743058794867615e-05,0.00255776346516956,-0.2163315295969318,True,False,True,False,False,True
