dataset,seed,method,graph_fraction,lasso_alpha,window_size,window_stride,feature_budget_per_target,mae,rmse,node_rmse_mean,node_rmse_max
ETTh1,0,Nonself Dense Ridge,0.75,0.003,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.75,0.003,1200,600,14,0.5225224770161848,0.7781823636289961,0.6538753638982575,1.6587454662600776
ETTh1,0,STCG-v1 Graph Ridge,0.75,0.003,1200,600,14,0.5204630198905033,0.7765629680474715,0.6512324202372793,1.6588433530478397
ETTh1,0,Persistence,1.0,0.003,1200,600,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,1.0,0.003,1200,600,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,1.0,0.003,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,1.0,0.003,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,STCG-v1 Graph Ridge,1.0,0.003,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,Persistence,0.25,0.005,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.25,0.005,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.25,0.005,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.25,0.005,300,150,5,0.5064247452007976,0.7278153990204247,0.6355859489075808,1.4893792835893909
ETTh1,0,STCG-v1 Graph Ridge,0.25,0.005,300,150,5,0.5064247452007976,0.7278153990204247,0.6355859489075808,1.4893792835893909
ETTh1,0,Persistence,0.5,0.005,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.5,0.005,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.5,0.005,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.5,0.005,300,150,9,0.5228774805125705,0.7755697850152602,0.6548997707640236,1.646193348777689
ETTh1,0,STCG-v1 Graph Ridge,0.5,0.005,300,150,9,0.5228774805125705,0.7755697850152602,0.6548997707640236,1.646193348777689
ETTh1,0,Persistence,0.75,0.005,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
