config_id,config_rank,selection_objective,stcg_window_size,stcg_window_stride,state_count_distribution,inferred_state_count_distribution,dynamic_feature_nonzero_variance,dataset,label_column,horizon_cycles,lookback_cycles,method,train_rows,validation_rows,test_rows,train_positive_rate,validation_positive_rate,test_positive_rate,train_positives,validation_positives,test_positives,threshold_metric,threshold,validation_threshold_metric,balanced_accuracy,precision,recall,f1,average_precision,roc_auc
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,stable_flag,3,40,Sensor Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.3739438111971159,0.3076923076923077,0.5490376092186906,0.15625,0.18867924528301888,0.17094017094017094,0.11259865352999975,0.5826579713815373
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,stable_flag,3,40,Graph Ridge Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.9739702012296937,0.42105263157894735,0.5135811067493985,0.09090909090909091,0.24528301886792453,0.1326530612244898,0.13388599206863996,0.5833544383943269
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,stable_flag,3,40,Sensor+Graph Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.9648568758220448,0.3902439024390244,0.5169209826516399,0.09042553191489362,0.32075471698113206,0.14107883817427386,0.11653774858760367,0.5858237305305812
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,stable_flag,3,40,STCG-v1 Selected Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.898525932644431,0.2641509433962264,0.4576104849943016,0.04838709677419355,0.11320754716981132,0.06779661016949153,0.07027182430685049,0.442509813853362
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,stable_flag,3,40,Sensor+STCG-v1 Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.00958777855749635,0.23076923076923078,0.48822337596555654,0.07142857142857142,0.1509433962264151,0.09696969696969697,0.0891122983067544,0.5252944156008611
transition_L40_W16_S8,8,transition,16,8,4:2160,4:2160,8,HydraulicSystems,stable_flag,5,40,Train Majority,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.11882716049382716,0.18487394957983194,0.5,0.12808641975308643,1.0,0.2270861833105335,0.12808641975308643,0.5
transition_L40_W16_S8,8,transition,16,8,4:2160,4:2160,8,HydraulicSystems,stable_flag,5,40,Sensor Logistic,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.7436926285784456,0.3125,0.5239897643672033,0.16666666666666666,0.18072289156626506,0.17341040462427745,0.15524800197649352,0.5449834737178804
transition_L40_W16_S8,8,transition,16,8,4:2160,4:2160,8,HydraulicSystems,stable_flag,5,40,Graph Ridge Logistic,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.025147130748804376,0.4225352112676056,0.5100223904467427,0.1323529411764706,0.5421686746987951,0.2127659574468085,0.1136904684480129,0.4777481607847318
transition_L40_W16_S8,8,transition,16,8,4:2160,4:2160,8,HydraulicSystems,stable_flag,5,40,Sensor+Graph Logistic,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.10832007078126525,0.3106796116504854,0.5344812879837936,0.1368421052631579,0.9397590361445783,0.23889739663093415,0.11040869080644072,0.4678963642179337
transition_L40_W16_S8,8,transition,16,8,4:2160,4:2160,8,HydraulicSystems,stable_flag,5,40,STCG-v1 Selected Logistic,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.019991133648841402,0.2689075630252101,0.4455912144151829,0.10864197530864197,0.5301204819277109,0.18032786885245902,0.10711857943892424,0.4271244269111846
