dataset,method,n,graph_fraction,lasso_alpha,window_size,window_stride,feature_budget_per_target,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,delta_vs_dense_rmse,delta_vs_persistence_rmse,beats_dense,beats_persistence
ETTh2,Nonself Dense Ridge,1,0.5,0.01,1200,600,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.001,300,150,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.001,600,300,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.001,1200,600,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.003,300,150,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.003,600,300,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.003,1200,600,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.005,300,150,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.005,600,300,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.005,1200,600,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.01,300,150,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.01,600,300,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,0.75,0.01,1200,600,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.001,300,150,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.001,600,300,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.001,1200,600,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.003,300,150,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.003,600,300,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.003,1200,600,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.005,300,150,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.005,600,300,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.005,1200,600,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.01,300,150,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.01,600,300,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,Nonself Dense Ridge,1,1.0,0.01,1200,600,18,0.5827427813418359,0.0,0.7428132620349122,0.0,0.6920193695886766,0.0,1.1210786438831182,0.0,0.5156761707455819,0.49722270745328057,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.001,300,150,5,0.7834028356080233,0.0,0.9628449852928777,0.0,0.9337355230796421,0.0,1.1782428351727163,0.0,0.7357078940035474,0.7172544307112461,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.001,600,300,5,0.7919194595175497,0.0,0.9643516204071847,0.0,0.928941682123188,0.0,1.1560101227523158,0.0,0.7372145291178545,0.7187610658255531,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.001,1200,600,5,0.7276337334943724,0.0,0.8991642056693465,0.0,0.8449901083449259,0.0,1.1972166655844416,0.0,0.6720271143800163,0.6535736510877149,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.003,300,150,5,0.7060861671507003,0.0,0.878379827767177,0.0,0.8287010052805753,0.0,1.1782428351727163,0.0,0.6512427364778468,0.6327892731855455,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.003,600,300,5,0.6797868414017891,0.0,0.8481139959524354,0.0,0.8126955144902844,0.0,1.1159426616402683,0.0,0.6209769046631052,0.6025234413708038,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.003,1200,600,5,0.6681630683266836,0.0,0.8490342900268514,0.0,0.78188952679416,0.0,1.176507779185964,0.0,0.6218971987375211,0.6034437354452198,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.005,300,150,5,0.7088587742768152,0.0,0.8877593941763942,0.0,0.8417812161204475,0.0,1.178686816281417,0.0,0.6606223028870639,0.6421688395947626,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.005,600,300,5,0.6551396421993503,0.0,0.8095422436350287,0.0,0.7750383154368299,0.0,1.1146406070286357,0.0,0.5824051523456985,0.5639516890533971,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.005,1200,600,5,0.6750553329678267,0.0,0.8321402207608849,0.0,0.7899374123168673,0.0,1.1108767327243612,0.0,0.6050031294715547,0.5865496661792533,False,False
